,Word1,Word2,Target,WUP,PTH,LCH
0,love,sex,6.77,0.9090909090909091,39,3.0204248861443626
1,tiger,cat,7.35,0.9629629629629629,39,3.0204248861443626
2,tiger,tiger,10.0,1.0,40,3.713572066704308
3,book,paper,7.46,0.8571428571428571,38,2.6149597780361984
4,computer,keyboard,7.62,0.8,37,2.327277705584417
5,computer,internet,7.58,0.5882352941176471,33,1.6341305250244718
6,plane,car,5.77,0.7,34,1.7676619176489945
7,train,car,6.31,0.7058823529411765,35,1.9218125974762528
8,telephone,communication,7.5,0.0,30,1.3156767939059373
9,television,radio,6.77,0.9,38,2.6149597780361984
10,media,radio,7.42,0.7142857142857143,37,2.327277705584417
11,drug,abuse,6.85,0.0,31,1.410986973710262
12,bread,butter,6.19,0.7142857142857143,38,2.6149597780361984
13,cucumber,potato,5.92,0.8,37,2.327277705584417
14,doctor,nurse,7.0,0.8571428571428571,38,2.6149597780361984
15,professor,doctor,6.62,0.7272727272727273,34,1.7676619176489945
16,student,professor,6.81,0.631578947368421,33,1.6341305250244718
17,smart,student,4.62,0.0,27,1.074514737089049
18,smart,stupid,5.81,0.0,27,1.074514737089049
19,company,stock,7.08,0.5454545454545454,35,1.9218125974762528
20,stock,market,8.08,0.5,34,1.7676619176489945
21,stock,phone,1.62,0.6666666666666666,34,1.7676619176489945
22,stock,CD,1.31,0.7058823529411765,35,1.9218125974762528
23,stock,jaguar,0.92,0.8,35,1.9218125974762528
24,stock,egg,1.81,0.5714285714285714,34,1.7676619176489945
25,fertility,egg,6.69,0.0,29,1.2286654169163076
26,stock,live,3.73,0.0,35,1.9218125974762528
27,stock,life,0.92,0.5555555555555556,35,1.9218125974762528
28,book,library,7.46,0.75,38,2.6149597780361984
29,bank,money,8.12,0.5,34,1.7676619176489945
30,wood,forest,7.73,1.0,40,3.713572066704308
31,money,cash,9.15,0.8571428571428571,38,2.6149597780361984
32,professor,cucumber,0.31,0.45454545454545453,28,1.148622709242771
33,king,cabbage,0.23,0.5263157894736842,31,1.410986973710262
34,king,queen,8.58,1.0,40,3.713572066704308
35,king,rook,5.92,0.9,38,2.6149597780361984
36,bishop,rabbi,6.69,0.8,36,2.1041341542702074
37,Jerusalem,Israel,8.46,0.0,34,1.7676619176489945
38,Jerusalem,Palestinian,7.65,0.0,25,0.9409833444645266
39,holy,sex,1.62,0.18181818181818182,31,1.410986973710262
40,fuck,sex,9.44,0.6666666666666666,38,2.6149597780361984
41,Maradona,football,8.62,0.0,0,0.0
42,football,soccer,9.03,0.9565217391304348,39,3.0204248861443626
43,football,basketball,6.81,0.8888888888888888,38,2.6149597780361984
44,football,tennis,6.63,0.6666666666666666,35,1.9218125974762528
45,tennis,racket,7.56,0.5263157894736842,32,1.5163474893680884
46,Arafat,peace,6.73,0.0,28,1.148622709242771
47,Arafat,terror,7.65,0.0,35,1.9218125974762528
48,Arafat,Jackson,2.5,0.0,37,2.327277705584417
49,law,lawyer,8.38,0.0,30,1.3156767939059373
50,movie,star,7.38,0.46153846153846156,33,1.6341305250244718
51,movie,popcorn,6.19,0.3,27,1.074514737089049
52,movie,critic,6.73,0.375,30,1.3156767939059373
53,movie,theater,7.92,0.5714285714285714,34,1.7676619176489945
54,physics,proton,8.12,0.1111111111111111,26,1.0055218656020977
55,physics,chemistry,7.35,0.8888888888888888,38,2.6149597780361984
56,space,chemistry,4.88,0.2857142857142857,35,1.9218125974762528
57,alcohol,chemistry,5.54,0.6666666666666666,36,2.1041341542702074
58,vodka,gin,8.46,0.9,38,2.6149597780361984
59,vodka,brandy,8.13,0.9,38,2.6149597780361984
60,drink,car,3.04,0.15384615384615385,30,1.3156767939059373
61,drink,ear,1.31,0.36363636363636365,33,1.6341305250244718
62,drink,mouth,5.96,0.4444444444444444,34,1.7676619176489945
63,drink,eat,6.87,0.0,38,2.6149597780361984
64,baby,mother,7.85,0.8,36,2.1041341542702074
65,drink,mother,2.65,0.46153846153846156,35,1.9218125974762528
66,car,automobile,8.94,1.0,40,3.713572066704308
67,gem,jewel,8.96,1.0,40,3.713572066704308
68,journey,voyage,9.29,0.9473684210526315,39,3.0204248861443626
69,boy,lad,8.83,0.9411764705882353,39,3.0204248861443626
70,coast,shore,9.1,0.8888888888888888,39,3.0204248861443626
71,asylum,madhouse,8.87,0.9473684210526315,39,3.0204248861443626
72,magician,wizard,9.02,1.0,40,3.713572066704308
73,midday,noon,9.29,1.0,40,3.713572066704308
74,furnace,stove,8.79,0.47058823529411764,31,1.410986973710262
75,food,fruit,7.52,0.3076923076923077,31,1.410986973710262
76,bird,cock,7.1,0.9473684210526315,39,3.0204248861443626
77,bird,crane,7.38,0.7619047619047619,37,2.327277705584417
78,tool,implement,6.46,0.9230769230769231,39,3.0204248861443626
79,brother,monk,6.27,0.9473684210526315,39,3.0204248861443626
80,crane,implement,2.69,0.7142857142857143,36,2.1041341542702074
81,lad,brother,4.46,0.75,36,2.1041341542702074
82,journey,car,5.85,0.0,23,0.8232003088081431
83,monk,oracle,5.0,0.631578947368421,33,1.6341305250244718
84,cemetery,woodland,2.08,0.3076923076923077,32,1.5163474893680884
85,food,rooster,4.42,0.11764705882352941,25,0.9409833444645266
86,coast,hill,4.38,0.6,36,2.1041341542702074
87,forest,graveyard,1.85,0.3076923076923077,32,1.5163474893680884
88,shore,woodland,3.08,0.4444444444444444,36,2.1041341542702074
89,monk,slave,0.92,0.75,36,2.1041341542702074
90,coast,forest,3.15,0.4,35,1.9218125974762528
91,lad,wizard,0.92,0.75,36,2.1041341542702074
92,chord,smile,0.54,0.2857142857142857,30,1.3156767939059373
93,glass,magician,2.08,0.4,33,1.6341305250244718
94,noon,string,0.54,0.15384615384615385,29,1.2286654169163076
95,rooster,voyage,0.62,0.0,17,0.5355182363563622
96,money,dollar,8.42,0.75,36,2.1041341542702074
97,money,cash,9.08,0.8571428571428571,38,2.6149597780361984
98,money,currency,9.04,0.9230769230769231,39,3.0204248861443626
99,money,wealth,8.27,0.9090909090909091,39,3.0204248861443626
100,money,property,7.57,0.6,38,2.6149597780361984
101,money,possession,7.29,0.4444444444444444,37,2.327277705584417
102,money,bank,8.5,0.5,34,1.7676619176489945
103,money,deposit,7.73,0.7142857142857143,38,2.6149597780361984
104,money,withdrawal,6.88,0.16666666666666666,30,1.3156767939059373
105,money,laundering,5.65,0.14285714285714285,28,1.148622709242771
106,money,operation,3.31,0.2,32,1.5163474893680884
107,tiger,jaguar,8.0,0.9285714285714286,38,2.6149597780361984
108,tiger,feline,8.0,0.8461538461538461,38,2.6149597780361984
109,tiger,carnivore,7.08,0.8,37,2.327277705584417
110,tiger,mammal,6.85,0.6956521739130435,35,1.9218125974762528
111,tiger,animal,7.0,0.7692307692307693,37,2.327277705584417
112,tiger,organism,4.77,0.6666666666666666,38,2.6149597780361984
113,tiger,fauna,5.62,0.7692307692307693,37,2.327277705584417
114,tiger,zoo,5.87,0.46153846153846156,33,1.6341305250244718
115,psychology,psychiatry,8.08,0.7,34,1.7676619176489945
116,psychology,anxiety,7.0,0.14285714285714285,28,1.148622709242771
117,psychology,fear,6.85,0.14285714285714285,28,1.148622709242771
118,psychology,depression,7.42,0.26666666666666666,29,1.2286654169163076
119,psychology,clinic,6.58,0.13333333333333333,27,1.074514737089049
120,psychology,doctor,6.42,0.25,28,1.148622709242771
121,psychology,Freud,8.21,0.0,21,0.7178397931503169
122,psychology,mind,7.69,0.5333333333333333,34,1.7676619176489945
123,psychology,health,7.23,0.15384615384615385,29,1.2286654169163076
124,psychology,science,6.71,0.9333333333333333,39,3.0204248861443626
125,psychology,discipline,5.58,0.7142857142857143,38,2.6149597780361984
126,psychology,cognition,7.48,0.36363636363636365,35,1.9218125974762528
127,planet,star,8.45,0.8333333333333334,38,2.6149597780361984
128,planet,constellation,8.06,0.7272727272727273,37,2.327277705584417
129,planet,moon,8.08,0.7692307692307693,37,2.327277705584417
130,planet,sun,8.02,0.7692307692307693,37,2.327277705584417
131,planet,galaxy,8.11,0.5882352941176471,33,1.6341305250244718
132,planet,space,7.92,0.46153846153846156,34,1.7676619176489945
133,planet,astronomer,7.94,0.7058823529411765,35,1.9218125974762528
134,precedent,example,5.85,0.9090909090909091,39,3.0204248861443626
135,precedent,information,3.85,0.6666666666666666,38,2.6149597780361984
136,precedent,cognition,2.81,0.4444444444444444,37,2.327277705584417
137,precedent,law,6.65,0.8888888888888888,39,3.0204248861443626
138,precedent,collection,2.5,0.6,38,2.6149597780361984
139,precedent,group,1.77,0.2857142857142857,37,2.327277705584417
140,precedent,antecedent,6.04,0.5454545454545454,35,1.9218125974762528
141,cup,coffee,6.58,0.7368421052631579,35,1.9218125974762528
142,cup,tableware,6.85,0.75,38,2.6149597780361984
143,cup,article,2.4,0.6666666666666666,36,2.1041341542702074
144,cup,artifact,2.92,0.5454545454545454,37,2.327277705584417
145,cup,object,3.69,0.2222222222222222,35,1.9218125974762528
146,cup,entity,2.15,0.0,35,1.9218125974762528
147,cup,drink,7.25,0.6666666666666666,36,2.1041341542702074
148,cup,food,5.0,0.4,35,1.9218125974762528
149,cup,substance,1.92,0.4,34,1.7676619176489945
150,cup,liquid,5.9,0.5882352941176471,35,1.9218125974762528
151,jaguar,cat,7.42,0.9629629629629629,39,3.0204248861443626
152,jaguar,car,7.27,0.2608695652173913,24,0.8803587226480918
153,energy,secretary,1.81,0.13333333333333333,30,1.3156767939059373
154,secretary,senate,5.06,0.0,27,1.074514737089049
155,energy,laboratory,5.09,0.18181818181818182,31,1.410986973710262
156,computer,laboratory,6.78,0.3076923076923077,32,1.5163474893680884
157,weapon,secret,6.06,0.16666666666666666,30,1.3156767939059373
158,FBI,fingerprint,6.94,0.13333333333333333,28,1.148622709242771
159,FBI,investigation,8.31,0.125,26,1.0055218656020977
160,investigation,effort,4.59,0.8,37,2.327277705584417
161,Mars,water,2.94,0.18181818181818182,36,2.1041341542702074
162,Mars,scientist,5.63,0.0,31,1.410986973710262
163,news,report,8.16,0.9090909090909091,39,3.0204248861443626
164,canyon,landscape,7.53,0.26666666666666666,29,1.2286654169163076
165,image,surface,4.56,0.6666666666666666,36,2.1041341542702074
166,discovery,space,6.34,0.25,34,1.7676619176489945
167,water,seepage,6.56,0.14285714285714285,29,1.2286654169163076
168,sign,recess,2.38,0.7142857142857143,38,2.6149597780361984
169,Wednesday,news,2.22,0.15384615384615385,29,1.2286654169163076
170,mile,kilometer,8.66,0.7692307692307693,37,2.327277705584417
171,computer,news,4.47,0.0,30,1.3156767939059373
172,territory,surface,5.34,0.5454545454545454,35,1.9218125974762528
173,atmosphere,landscape,3.69,0.42857142857142855,32,1.5163474893680884
174,president,medal,3.0,0.13333333333333333,28,1.148622709242771
175,war,troops,8.13,0.18181818181818182,31,1.410986973710262
176,record,number,6.31,0.8888888888888888,39,3.0204248861443626
177,skin,eye,6.22,0.6153846153846154,35,1.9218125974762528
178,Japanese,American,6.5,0.8235294117647058,37,2.327277705584417
179,theater,history,3.91,0.4,34,1.7676619176489945
180,volunteer,motto,2.56,0.0,29,1.2286654169163076
181,prejudice,recognition,3.0,0.6153846153846154,35,1.9218125974762528
182,decoration,valor,5.63,0.15384615384615385,29,1.2286654169163076
183,century,year,7.59,0.8,38,2.6149597780361984
184,century,nation,3.16,0.2222222222222222,33,1.6341305250244718
185,delay,racism,1.19,0.5714285714285714,34,1.7676619176489945
186,delay,news,3.31,0.46153846153846156,33,1.6341305250244718
187,minister,party,6.63,0.7058823529411765,35,1.9218125974762528
188,peace,plan,4.75,0.18181818181818182,31,1.410986973710262
189,minority,peace,3.69,0.5,35,1.9218125974762528
190,attempt,peace,4.25,0.18181818181818182,31,1.410986973710262
191,government,crisis,6.56,0.46153846153846156,34,1.7676619176489945
192,deployment,departure,4.25,0.6666666666666666,36,2.1041341542702074
193,deployment,withdrawal,5.88,0.75,36,2.1041341542702074
194,energy,crisis,5.94,0.5714285714285714,34,1.7676619176489945
195,announcement,news,7.56,0.6,36,2.1041341542702074
196,announcement,effort,2.75,0.18181818181818182,31,1.410986973710262
197,stroke,hospital,7.03,0.3333333333333333,30,1.3156767939059373
198,disability,death,5.47,0.46153846153846156,33,1.6341305250244718
199,victim,emergency,6.47,0.375,31,1.410986973710262
200,treatment,recovery,7.91,0.7272727272727273,37,2.327277705584417
201,journal,association,4.97,0.25,34,1.7676619176489945
202,doctor,personnel,5.0,0.15384615384615385,29,1.2286654169163076
203,doctor,liability,5.19,0.15384615384615385,29,1.2286654169163076
204,liability,insurance,7.03,0.5714285714285714,34,1.7676619176489945
205,school,center,3.44,0.8571428571428571,38,2.6149597780361984
206,reason,hypertension,2.31,0.5,32,1.5163474893680884
207,reason,criterion,5.91,0.46153846153846156,33,1.6341305250244718
208,hundred,percent,7.38,0.14285714285714285,28,1.148622709242771
209,Harvard,Yale,8.13,0.0,38,2.6149597780361984
210,hospital,infrastructure,4.63,0.15384615384615385,29,1.2286654169163076
211,death,row,5.25,0.4444444444444444,33,1.6341305250244718
212,death,inmate,5.03,0.13333333333333333,30,1.3156767939059373
213,lawyer,evidence,6.69,0.0,30,1.3156767939059373
214,life,death,7.88,0.8333333333333334,38,2.6149597780361984
215,life,term,4.5,0.8,38,2.6149597780361984
216,word,similarity,4.75,0.23529411764705882,32,1.5163474893680884
217,board,recommendation,4.47,0.15384615384615385,29,1.2286654169163076
218,governor,interview,3.25,0.0,27,1.074514737089049
219,OPEC,country,5.63,0.5,34,1.7676619176489945
220,peace,atmosphere,3.69,0.6666666666666666,36,2.1041341542702074
221,peace,insurance,2.94,0.8,37,2.327277705584417
222,territory,kilometer,5.28,0.14285714285714285,28,1.148622709242771
223,travel,activity,5.0,0.6153846153846154,35,1.9218125974762528
224,competition,price,6.44,0.36363636363636365,33,1.6341305250244718
225,consumer,confidence,4.13,0.0,29,1.2286654169163076
226,consumer,energy,4.75,0.14285714285714285,31,1.410986973710262
227,problem,airport,2.38,0.0,27,1.074514737089049
228,car,flight,4.94,0.5,33,1.6341305250244718
229,credit,card,8.06,0.5454545454545454,35,1.9218125974762528
230,credit,information,5.31,0.6666666666666666,37,2.327277705584417
231,hotel,reservation,8.03,0.2857142857142857,30,1.3156767939059373
232,grocery,money,5.94,0.0,27,1.074514737089049
233,registration,arrangement,6.0,0.625,36,2.1041341542702074
234,arrangement,accommodation,5.41,0.625,34,1.7676619176489945
235,month,hotel,1.81,0.0,29,1.2286654169163076
236,type,kind,8.97,0.9411764705882353,39,3.0204248861443626
237,arrival,hotel,6.0,0.4,31,1.410986973710262
238,bed,closet,6.72,0.8235294117647058,37,2.327277705584417
239,closet,clothes,8.0,0.5,33,1.6341305250244718
240,situation,conclusion,4.81,0.5714285714285714,34,1.7676619176489945
241,situation,isolation,3.88,0.6666666666666666,37,2.327277705584417
242,impartiality,interest,5.16,0.3076923076923077,32,1.5163474893680884
243,direction,combination,2.25,0.625,34,1.7676619176489945
244,street,place,6.44,0.5454545454545454,35,1.9218125974762528
245,street,avenue,8.88,0.9411764705882353,39,3.0204248861443626
246,street,block,6.88,0.6153846153846154,35,1.9218125974762528
247,street,children,4.94,0.4,31,1.410986973710262
248,listing,proximity,2.56,0.23529411764705882,28,1.148622709242771
249,listing,category,6.38,0.2857142857142857,32,1.5163474893680884
250,cell,phone,7.81,0.7777777777777778,38,2.6149597780361984
251,production,hike,1.75,0.5333333333333333,33,1.6341305250244718
252,benchmark,index,4.25,0.7272727272727273,37,2.327277705584417
253,media,trading,3.88,0.5714285714285714,34,1.7676619176489945
254,media,gain,2.88,0.4,34,1.7676619176489945
255,dividend,payment,7.63,0.75,38,2.6149597780361984
256,dividend,calculation,6.48,0.16666666666666666,30,1.3156767939059373
257,calculation,computation,8.44,1.0,40,3.713572066704308
258,currency,market,7.5,0.18181818181818182,31,1.410986973710262
259,OPEC,oil,8.59,0.1111111111111111,27,1.074514737089049
260,oil,stock,6.34,0.5,32,1.5163474893680884
261,announcement,production,3.38,0.4,34,1.7676619176489945
262,announcement,warning,6.0,0.5454545454545454,35,1.9218125974762528
263,profit,warning,3.88,0.16666666666666666,30,1.3156767939059373
264,profit,loss,7.63,0.6666666666666666,35,1.9218125974762528
265,dollar,yen,7.78,0.7692307692307693,37,2.327277705584417
266,dollar,buck,9.22,1.0,40,3.713572066704308
267,dollar,profit,7.38,0.18181818181818182,31,1.410986973710262
268,dollar,loss,6.09,0.2,32,1.5163474893680884
269,computer,software,8.5,0.0,28,1.148622709242771
270,network,hardware,8.31,0.7692307692307693,37,2.327277705584417
271,phone,equipment,7.13,0.7142857142857143,38,2.6149597780361984
272,equipment,maker,5.91,0.42857142857142855,32,1.5163474893680884
273,luxury,car,6.47,0.0,26,1.0055218656020977
274,five,month,3.38,0.36363636363636365,33,1.6341305250244718
275,report,gain,3.63,0.2222222222222222,33,1.6341305250244718
276,investor,earning,7.13,0.0,0,0.0
277,liquid,water,7.89,0.9230769230769231,39,3.0204248861443626
278,baseball,season,5.97,0.11764705882352941,26,1.0055218656020977
279,game,victory,7.03,0.5,34,1.7676619176489945
280,game,team,7.69,0.18181818181818182,31,1.410986973710262
281,marathon,sprint,7.47,0.4444444444444444,30,1.3156767939059373
282,game,series,6.19,0.8333333333333334,38,2.6149597780361984
283,game,defeat,6.97,0.5,34,1.7676619176489945
284,seven,series,3.56,0.2857142857142857,32,1.5163474893680884
285,seafood,sea,7.47,0.2222222222222222,33,1.6341305250244718
286,seafood,food,8.34,0.8888888888888888,39,3.0204248861443626
287,seafood,lobster,8.7,0.6666666666666666,38,2.6149597780361984
288,lobster,food,7.81,0.5454545454545454,37,2.327277705584417
289,lobster,wine,5.7,0.25,30,1.3156767939059373
290,food,preparation,6.22,0.5,34,1.7676619176489945
291,video,archive,6.34,0.5,32,1.5163474893680884
292,start,year,4.06,0.4444444444444444,35,1.9218125974762528
293,start,match,4.47,0.5,37,2.327277705584417
294,game,round,5.97,0.875,38,2.6149597780361984
295,boxing,round,7.61,0.7,34,1.7676619176489945
296,championship,tournament,8.36,0.8333333333333334,38,2.6149597780361984
297,fighting,defeating,7.41,0.16666666666666666,30,1.3156767939059373
298,line,insurance,2.69,0.6666666666666666,36,2.1041341542702074
299,day,summer,3.94,0.7272727272727273,37,2.327277705584417
300,summer,drought,7.16,0.7272727272727273,37,2.327277705584417
301,summer,nature,5.63,0.2,32,1.5163474893680884
302,day,dawn,7.53,0.8,38,2.6149597780361984
303,nature,environment,8.31,0.4444444444444444,35,1.9218125974762528
304,environment,ecology,8.81,0.9090909090909091,39,3.0204248861443626
305,nature,man,6.25,0.46153846153846156,37,2.327277705584417
306,man,woman,8.3,0.875,38,2.6149597780361984
307,man,governor,5.25,0.75,36,2.1041341542702074
308,murder,manslaughter,8.53,0.9090909090909091,38,2.6149597780361984
309,soap,opera,7.94,0.125,27,1.074514737089049
310,opera,performance,6.88,0.18181818181818182,31,1.410986973710262
311,life,lesson,5.94,0.3333333333333333,33,1.6341305250244718
312,focus,life,4.06,0.46153846153846156,34,1.7676619176489945
313,production,crew,6.25,0.2222222222222222,33,1.6341305250244718
314,television,film,7.72,0.75,36,2.1041341542702074
315,lover,quarrel,6.19,0.3333333333333333,28,1.148622709242771
316,viewer,serial,2.97,0.4444444444444444,30,1.3156767939059373
317,possibility,girl,1.94,0.0,30,1.3156767939059373
318,population,development,3.75,0.7,34,1.7676619176489945
319,morality,importance,3.31,0.6,36,2.1041341542702074
320,morality,marriage,3.69,0.4444444444444444,35,1.9218125974762528
321,Mexico,Brazil,7.44,0.0,36,2.1041341542702074
322,gender,equality,6.41,0.36363636363636365,33,1.6341305250244718
323,change,attitude,5.44,0.47058823529411764,35,1.9218125974762528
324,family,planning,6.25,0.18181818181818182,31,1.410986973710262
325,opera,industry,2.63,0.15384615384615385,30,1.3156767939059373
326,sugar,approach,0.88,0.15384615384615385,30,1.3156767939059373
327,practice,institution,3.19,0.6,38,2.6149597780361984
328,ministry,culture,4.69,0.46153846153846156,33,1.6341305250244718
329,problem,challenge,6.75,0.5454545454545454,35,1.9218125974762528
330,size,prominence,5.31,0.5454545454545454,35,1.9218125974762528
331,country,citizen,7.31,0.26666666666666666,32,1.5163474893680884
332,planet,people,5.75,0.0,32,1.5163474893680884
333,development,issue,3.97,0.7142857142857143,37,2.327277705584417
334,experience,music,3.47,0.5454545454545454,35,1.9218125974762528
335,music,project,3.63,0.7692307692307693,37,2.327277705584417
336,glass,metal,5.56,0.4,35,1.9218125974762528
337,aluminum,metal,7.83,0.9230769230769231,39,3.0204248861443626
338,chance,credibility,3.88,0.4,35,1.9218125974762528
339,exhibit,memorabilia,5.31,0.3333333333333333,32,1.5163474893680884
340,concert,virtuoso,6.81,0.0,28,1.148622709242771
341,rock,jazz,7.59,0.8571428571428571,38,2.6149597780361984
342,museum,theater,7.19,0.5714285714285714,34,1.7676619176489945
343,observation,architecture,4.38,0.6666666666666666,35,1.9218125974762528
344,space,world,6.53,0.5,36,2.1041341542702074
345,preservation,world,6.19,0.5333333333333333,34,1.7676619176489945
346,admission,ticket,7.69,0.5,34,1.7676619176489945
347,shower,thunderstorm,6.31,0.6666666666666666,34,1.7676619176489945
348,shower,flood,6.03,0.5333333333333333,36,2.1041341542702074
349,weather,forecast,8.34,0.0,27,1.074514737089049
350,disaster,area,6.25,0.42857142857142855,32,1.5163474893680884
351,governor,office,6.34,0.47058823529411764,31,1.410986973710262
352,architecture,century,3.78,0.18181818181818182,31,1.410986973710262
